dataset,lang,domain1,domain2,overlap,iou,intersection,union
es-en,es,health,health,1.0,1.0,3478,3478
es-en,es,health,biological,0.3893041978148361,0.2934547030775899,1354,4614
es-en,es,health,merged,0.9232317423806785,0.7847018572825024,3211,4092
es-en,es,biological,health,0.5437751004016064,0.2934547030775899,1354,4614
es-en,es,biological,biological,1.0,1.0,2490,2490
es-en,es,biological,merged,0.6907630522088354,0.37431991294885747,1720,4595
es-en,es,merged,health,0.8394771241830066,0.7847018572825024,3211,4092
es-en,es,merged,biological,0.4496732026143791,0.37431991294885747,1720,4595
es-en,es,merged,merged,1.0,1.0,3825,3825
es-en,en,health,health,1.0,1.0,5049,5049
es-en,en,health,biological,0.40542681719152307,0.3060705741626794,2047,6688
es-en,en,health,merged,0.9102792632204397,0.8025144054478784,4596,5727
es-en,en,biological,health,0.5553445469343462,0.3060705741626794,2047,6688
es-en,en,biological,biological,1.0,1.0,3686,3686
es-en,en,biological,merged,0.6736299511665762,0.38335649220318047,2483,6477
es-en,en,merged,health,0.8714448236632537,0.8025144054478784,4596,5727
es-en,en,merged,biological,0.4708001516875237,0.38335649220318047,2483,6477
es-en,en,merged,merged,1.0,1.0,5274,5274
pt-en,pt,health,health,1.0,1.0,3077,3077
pt-en,pt,health,biological,0.4176145596360091,0.29431974347228584,1285,4366
pt-en,pt,health,merged,0.8735781605459864,0.7051416579223505,2688,3812
pt-en,pt,biological,health,0.49922299922299923,0.29431974347228584,1285,4366
pt-en,pt,biological,biological,1.0,1.0,2574,2574
pt-en,pt,biological,merged,0.668997668997669,0.40280701754385967,1722,4275
pt-en,pt,merged,health,0.7852760736196319,0.7051416579223505,2688,3812
pt-en,pt,merged,biological,0.5030674846625767,0.40280701754385967,1722,4275
pt-en,pt,merged,merged,1.0,1.0,3423,3423
pt-en,en,health,health,1.0,1.0,4098,4098
pt-en,en,health,biological,0.39604685212298685,0.2838405036726128,1623,5718
pt-en,en,health,merged,0.8743289409468034,0.7372427983539095,3583,4860
pt-en,en,biological,health,0.5004625346901017,0.2838405036726128,1623,5718
pt-en,en,biological,biological,1.0,1.0,3243,3243
pt-en,en,biological,merged,0.648781991982732,0.3836615609044493,2104,5484
pt-en,en,merged,health,0.824626006904488,0.7372427983539095,3583,4860
pt-en,en,merged,biological,0.48423475258918297,0.3836615609044493,2104,5484
pt-en,en,merged,merged,1.0,1.0,4345,4345
