,Dataset,Split,Size
0,biological-es-en,train,119890
1,biological-es-en,val,3707
2,biological-es-en,test,3982
3,biological-pt-en,train,116692
4,biological-pt-en,val,3609
5,biological-pt-en,test,3871
6,health-es-en,train,575482
7,health-es-en,val,5000
8,health-es-en,test,4961
9,health-pt-en,train,502987
10,health-pt-en,val,5000
11,health-pt-en,test,3738
12,merged-es-en,train,699079
13,merged-es-en,val,5000
14,merged-es-en,test,8943
15,merged-pt-en,train,623288
16,merged-pt-en,val,5000
17,merged-pt-en,test,7609
